Type,id,location,edges--transmission_edge--commodity,edges--transmission_edge--has_capacity,edges--transmission_edge--can_expand,edges--transmission_edge--can_retire,edges--transmission_edge--integer_decisions,edges--transmission_edge--constraints--CapacityConstraint,edges--transmission_edge--start_vertex,edges--transmission_edge--end_vertex,edges--transmission_edge--distance,edges--transmission_edge--existing_capacity,edges--transmission_edge--investment_cost,edges--transmission_edge--fixed_om_cost,edges--transmission_edge--variable_om_cost,edges--transmission_edge--wacc,edges--transmission_edge--lifetime,edges--transmission_edge--capital_recovery_period,edges--transmission_edge--loss_fraction
OneWayTransmissionLink,Region12Anhui_to_Hehuai_CO2_Pipeline,Region12Anhui,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region12Anhui,co2_transported_Region12Anhui_to_Hehuai,1,0,0.0006782041530394651,0,1.0993090273972601e-05,0.08,25,15,0.0
OneWayTransmissionLink,Region12Anhui_to_Region17Hubei_CO2_Pipeline,Region12Anhui,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region12Anhui,co2_transported_Region12Anhui_to_Region17Hubei,1,0,0.0007297803993443201,0,1.1448114246575341e-05,0.08,25,15,0.0
OneWayTransmissionLink,Region12Anhui_to_Region14Jiangxi_CO2_Pipeline,Region12Anhui,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region12Anhui,co2_transported_Region12Anhui_to_Region14Jiangxi,1,0,0.0008374187604163605,0,1.1780642876712326e-05,0.08,25,15,0.0
OneWayTransmissionLink,Region12Anhui_to_Region15Shandong_CO2_Pipeline,Region12Anhui,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region12Anhui,co2_transported_Region12Anhui_to_Region15Shandong,1,0,0.0011363576433404896,0,1.6375373835616436e-05,0.08,25,15,0.0
OneWayTransmissionLink,Region1Beijing_to_BohaiOnshore_CO2_Pipeline,Region1Beijing,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region1Beijing,co2_transported_Region1Beijing_to_BohaiOnshore,1,0,0.0005347096297643543,0,6.2813531506849305e-06,0.08,25,15,0.0
OneWayTransmissionLink,Region1Beijing_to_Erlian_CO2_Pipeline,Region1Beijing,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region1Beijing,co2_transported_Region1Beijing_to_Erlian,1,0,0.0007254231039895749,0,1.4595435616438354e-05,0.08,25,15,0.0
OneWayTransmissionLink,Region1Beijing_to_Region3Hebei_CO2_Pipeline,Region1Beijing,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region1Beijing,co2_transported_Region1Beijing_to_Region3Hebei,1,0,0.0008003467170100668,0,9.644196986301368e-06,0.08,25,15,0.0
OneWayTransmissionLink,Region1Beijing_to_Region5Innermongolia_CO2_Pipeline,Region1Beijing,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region1Beijing,co2_transported_Region1Beijing_to_Region5Innermongolia,1,0,0.0008025046539970114,0,1.8876705616438353e-05,0.08,25,15,0.0
OneWayTransmissionLink,Region1Beijing_to_Region2Tianjin_CO2_Pipeline,Region1Beijing,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region1Beijing,co2_transported_Region1Beijing_to_Region2Tianjin,1,0,0.00038522363656748484,0,4.0131669863013695e-06,0.08,25,15,0.0
OneWayTransmissionLink,Region22Chongqing_to_Region24Guizhou_CO2_Pipeline,Region22Chongqing,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region22Chongqing,co2_transported_Region22Chongqing_to_Region24Guizhou,1,0,0.0006748249638758619,0,9.9781701369863e-06,0.08,25,15,0.0
OneWayTransmissionLink,Region22Chongqing_to_Jianghan_CO2_Pipeline,Region22Chongqing,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region22Chongqing,co2_transported_Region22Chongqing_to_Jianghan,1,0,0.0013172551638688222,0,2.23051306849315e-05,0.08,25,15,0.0
OneWayTransmissionLink,Region22Chongqing_to_Nanxiang_CO2_Pipeline,Region22Chongqing,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region22Chongqing,co2_transported_Region22Chongqing_to_Nanxiang,1,0,0.0015088086319738347,0,2.443030931506849e-05,0.08,25,15,0.0
OneWayTransmissionLink,Region22Chongqing_to_Region27Shaanxi_CO2_Pipeline,Region22Chongqing,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region22Chongqing,co2_transported_Region22Chongqing_to_Region27Shaanxi,1,0,0.0014557571004708758,0,1.7767313835616438e-05,0.08,25,15,0.0
OneWayTransmissionLink,Region22Chongqing_to_Region23Sichuan_CO2_Pipeline,Region22Chongqing,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region22Chongqing,co2_transported_Region22Chongqing_to_Region23Sichuan,1,0,0.0005536825409690093,0,8.831509726027396e-06,0.08,25,15,0.0
OneWayTransmissionLink,Region22Chongqing_to_SichuanBasin_CO2_Pipeline,Region22Chongqing,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region22Chongqing,co2_transported_Region22Chongqing_to_SichuanBasin,1,0,0.0002705969490509654,0,3.418024520547945e-06,0.08,25,15,0.0
OneWayTransmissionLink,Erlian_to_BohaiOffshore_CO2_Pipeline,Erlian,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_storage_Erlian,co2_transported_Erlian_to_BohaiOffshore,1,0,0.0010654158904109588,0,3.196247671232876e-05,0.08,25,15,0.0
OneWayTransmissionLink,Region13Fujian_to_EastChinaSea_CO2_Pipeline,Region13Fujian,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region13Fujian,co2_transported_Region13Fujian_to_EastChinaSea,1,0,0.0010112268493150684,0,3.033680547945205e-05,0.08,25,15,0.0
OneWayTransmissionLink,Region13Fujian_to_Region19Guangdong_CO2_Pipeline,Region13Fujian,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region13Fujian,co2_transported_Region13Fujian_to_Region19Guangdong,1,0,0.0015748596151444192,0,2.3019012739726023e-05,0.08,25,15,0.0
OneWayTransmissionLink,Region13Fujian_to_Region14Jiangxi_CO2_Pipeline,Region13Fujian,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region13Fujian,co2_transported_Region13Fujian_to_Region14Jiangxi,1,0,0.001017542352747094,0,1.4688173835616438e-05,0.08,25,15,0.0
