type,Investment,FixedOM,Fuel,VariableOM,Startup,NonServedDemand,Total
Steelmaking,180798.57489122162,7.574951082882399e10,2.3700105585668314e7,0.0,0.0,0.0,7.577339173298454e10
AluminumSmelting,715437.0555929176,4.089665315999983e10,0.0,2.982992467681127e7,1.9349357178784932e6,0.0,4.092913345745012e10
OneWayTransmissionLink{Cement},0.0,0.0,0.0,6.361962045249478e6,0.0,0.0,6.361962045249478e6
UpstreamEmissions{IronOre},0.0,0.0,0.0,21416.728253190333,0.0,0.0,21416.728253190333
OneWayTransmissionLink{CrudeSteel},0.0,0.0,0.0,9.162587672975162e7,0.0,0.0,9.162587672975162e7
OneWayTransmissionLink{DRI},0.0,0.0,0.0,894291.3600410005,0.0,0.0,894291.3600410005
DRIMaking,206426.70562831074,28412.389097597632,322.5912303429018,0.0,0.0,0.0,235161.68595625125
OneWayTransmissionLink{IronOre},0.0,0.0,1.7777290285538318e9,5.391767609846678e7,0.0,0.0,1.8316467046522987e9
OneWayTransmissionLink{SteelScrap},0.0,0.0,4.677014370793057e6,1.031527219704269e7,0.0,0.0,1.4992286567835748e7
CementPlant{Coal},146806.48996976894,4.2179594460387275e7,0.0,1.7094438401527643e8,0.0,0.0,2.1327078496563348e8
CO2Injection,18937.063744035546,0.0,0.0,133867.3559783073,0.0,0.0,152804.41972234286
OneWayTransmissionLink{CO2Captured},8.326206729587938e-5,0.0,0.0,0.00040811938157222203,0.0,0.0,0.0004913814488681014
HydroRes,0.0,5.600396881444847e10,0.0,0.0,0.0,0.0,5.600396881444847e10
Battery,1.8698232106189146e6,2.870603262184745e9,0.0,0.0,0.0,0.0,2.872473085395364e9
ThermalPower{Coal},1.7959718866442894e6,4.94338002602444e10,0.0,4.967837576577684e8,76014.39073646233,0.0,4.993245600417955e10
ThermalPower{NaturalGas},5.892965322172972e6,4.2629515367640123e9,0.0,3.0825036084784362e7,57761.692726503476,0.0,4.299727299863696e9
ThermalPower{Uranium},132302.93403702544,3.529789270310456e9,0.0,4.0848747470199238e6,6763.066485619414,0.0,3.534013211057998e9
TransmissionLink{Electricity},3.146033812401282e7,0.0,0.0,0.0,0.0,0.0,3.146033812401282e7
VRE,845551.4672812333,4.0450303703156556e6,0.0,0.0,0.0,0.0,4.890581837596889e6
Node{Electricity},0.0,0.0,0.0,0.0,0.0,3.8222250848563886e6,3.8222250848563886e6
Total,4.3265358834676765e7,2.327935301699957e11,1.8061064711015236e9,8.957383396968516e8,2.0754748678270786e6,3.8222250848563886e6,2.3554453803958145e11
