time,Region1Beijing_PV_Central,Region2Tianjin_PV_Central,Region3Hebei_PV_Central,Region4Shanxi_PV_Central,Region5Innermongolia_PV_Central,Region6Liaoning_PV_Central,Region7Jilin_PV_Central,Region8Heilongjiang_PV_Central,Region9Shanghai_PV_Central,Region10Jiangsu_PV_Central,Region11Zhejiang_PV_Central,Region12Anhui_PV_Central,Region13Fujian_PV_Central,Region14Jiangxi_PV_Central,Region15Shandong_PV_Central,Region16Henan_PV_Central,Region17Hubei_PV_Central,Region18Hunan_PV_Central,Region19Guangdong_PV_Central,Region20Guangxi_PV_Central,Region21Hainan_PV_Central,Region22Chongqing_PV_Central,Region23Sichuan_PV_Central,Region24Guizhou_PV_Central,Region25Yunnan_PV_Central,Region26Tibet_PV_Central,Region27Shaanxi_PV_Central,Region28Gansu_PV_Central,Region29Qinghai_PV_Central,Region30Ningxia_PV_Central,Region31Xinjiang_PV_Central,Region1Beijing_Wind_Onshore,Region2Tianjin_Wind_Onshore,Region3Hebei_Wind_Onshore,Region4Shanxi_Wind_Onshore,Region5Innermongolia_Wind_Onshore,Region6Liaoning_Wind_Onshore,Region7Jilin_Wind_Onshore,Region8Heilongjiang_Wind_Onshore,Region9Shanghai_Wind_Onshore,Region10Jiangsu_Wind_Onshore,Region11Zhejiang_Wind_Onshore,Region12Anhui_Wind_Onshore,Region13Fujian_Wind_Onshore,Region14Jiangxi_Wind_Onshore,Region15Shandong_Wind_Onshore,Region16Henan_Wind_Onshore,Region17Hubei_Wind_Onshore,Region18Hunan_Wind_Onshore,Region19Guangdong_Wind_Onshore,Region20Guangxi_Wind_Onshore,Region21Hainan_Wind_Onshore,Region22Chongqing_Wind_Onshore,Region23Sichuan_Wind_Onshore,Region24Guizhou_Wind_Onshore,Region25Yunnan_Wind_Onshore,Region26Tibet_Wind_Onshore,Region27Shaanxi_Wind_Onshore,Region28Gansu_Wind_Onshore,Region29Qinghai_Wind_Onshore,Region30Ningxia_Wind_Onshore,Region31Xinjiang_Wind_Onshore,Region1Beijing_PV_Distribution,Region2Tianjin_PV_Distribution,Region3Hebei_PV_Distribution,Region4Shanxi_PV_Distribution,Region5Innermongolia_PV_Distribution,Region6Liaoning_PV_Distribution,Region7Jilin_PV_Distribution,Region8Heilongjiang_PV_Distribution,Region9Shanghai_PV_Distribution,Region10Jiangsu_PV_Distribution,Region11Zhejiang_PV_Distribution,Region12Anhui_PV_Distribution,Region13Fujian_PV_Distribution,Region14Jiangxi_PV_Distribution,Region15Shandong_PV_Distribution,Region16Henan_PV_Distribution,Region17Hubei_PV_Distribution,Region18Hunan_PV_Distribution,Region19Guangdong_PV_Distribution,Region20Guangxi_PV_Distribution,Region21Hainan_PV_Distribution,Region22Chongqing_PV_Distribution,Region23Sichuan_PV_Distribution,Region24Guizhou_PV_Distribution,Region25Yunnan_PV_Distribution,Region26Tibet_PV_Distribution,Region27Shaanxi_PV_Distribution,Region28Gansu_PV_Distribution,Region29Qinghai_PV_Distribution,Region30Ningxia_PV_Distribution,Region31Xinjiang_PV_Distribution,Region1Beijing_Wind_Offshore,Region2Tianjin_Wind_Offshore,Region3Hebei_Wind_Offshore,Region4Shanxi_Wind_Offshore,Region5Innermongolia_Wind_Offshore,Region6Liaoning_Wind_Offshore,Region7Jilin_Wind_Offshore,Region8Heilongjiang_Wind_Offshore,Region9Shanghai_Wind_Offshore,Region10Jiangsu_Wind_Offshore,Region11Zhejiang_Wind_Offshore,Region12Anhui_Wind_Offshore,Region13Fujian_Wind_Offshore,Region14Jiangxi_Wind_Offshore,Region15Shandong_Wind_Offshore,Region16Henan_Wind_Offshore,Region17Hubei_Wind_Offshore,Region18Hunan_Wind_Offshore,Region19Guangdong_Wind_Offshore,Region20Guangxi_Wind_Offshore,Region21Hainan_Wind_Offshore,Region22Chongqing_Wind_Offshore,Region23Sichuan_Wind_Offshore,Region24Guizhou_Wind_Offshore,Region25Yunnan_Wind_Offshore,Region26Tibet_Wind_Offshore,Region27Shaanxi_Wind_Offshore,Region28Gansu_Wind_Offshore,Region29Qinghai_Wind_Offshore,Region30Ningxia_Wind_Offshore,Region31Xinjiang_Wind_Offshore
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044096883177750096,0.029996391712299078,0.08796201854613522,0.022060733278314933,0.08356106025819873,0.05716736598051819,0.020798922483332274,0.0108513804225009,0.05995000607489678,0.017926860067454822,0.05679311397231829,0.02580289607585605,0.060786230910841704,0.036130441395681445,0.009960327755778247,0.05588562002639652,0.05496193808344735,0.05172675893470141,0.1285114229775594,0.05749248945132801,0.1620293639704944,0.040367449799890806,0.05780432564952384,0.023499007096063736,0.05350086753290609,0.1044433301458958,0.06486267706008605,0.04095370991281988,0.05028800807339942,0.06833608005470737,0.112608595294204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07546446554918973,0.011886544243579166,0.0,0.0,0.05210451105353814,0.0,0.0,0.05248774347256717,0.02870780544099044,0.05335622522851516,0.0,0.05968865772401216,0.0,0.031370013843204037,0.0,0.0,0.0,0.024264539787583014,0.02790954044784888,0.21077818961481165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04430937836269483,0.03402020230324378,0.09324056786588505,0.019971774811058177,0.08320031122692068,0.05408695710780395,0.024429895415175797,0.012668001096771485,0.06493724165256823,0.016535516242558092,0.05648119259471163,0.03095574458731004,0.05606670938142608,0.03629314192983735,0.010200724530888291,0.061049140554538056,0.054604661311028674,0.04931352902739723,0.1356736043266828,0.060887453154288396,0.17575524398320075,0.04156950862768925,0.060639197206761725,0.020829013905648994,0.051262515693885374,0.1038681940830865,0.06658649651338483,0.044382768352242294,0.049124231553339004,0.06571429888819394,0.11318369408379622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07711614147046741,0.010831160483293148,0.0,0.0,0.04984865104010264,0.0,0.0,0.055092187818653104,0.029238939434250197,0.053431140300460825,0.0,0.05941287007090268,0.0,0.031166832282775808,0.0,0.0,0.0,0.025145528559033042,0.030979400704304265,0.22170123516563423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04545744740010754,0.033722499874761114,0.12054593952128062,0.01909341313063647,0.09627094668842884,0.05876328322727806,0.027595428047773672,0.014215126882087342,0.07741079478845836,0.015030524761594017,0.06539123853697101,0.03066484708347139,0.058886431996679964,0.03931868905429954,0.015082457085474722,0.0751530984642266,0.05482673917382733,0.05381603831612579,0.1790652454442836,0.07472711874712262,0.23584579113218795,0.04626918925745656,0.07601468971846123,0.021209729460591395,0.05781037212045752,0.11450348738340382,0.08920569827403857,0.057030479878373286,0.050459925946780296,0.07451709915658139,0.1283563953136748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0791441557354697,0.00836273482641932,0.0,0.0,0.046479925936321664,0.0,0.0,0.06245437431369451,0.03209873598889551,0.05887219289559921,0.0,0.06577848651981147,0.0,0.02856009489576357,0.0,0.0,0.0,0.026216491620387285,0.03223740961168893,0.2547528247920856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04248501043892523,0.029410172678146516,0.13375860502874068,0.02142442471589781,0.08883457201243453,0.05887051842543989,0.03147710013391526,0.015817766288664423,0.06608512727419688,0.010747219568932785,0.06523043848693046,0.02782534695705737,0.05544207928021673,0.03946478685876256,0.021064155444512622,0.08507565597613559,0.04603162611215708,0.053026635045687304,0.1738335802633169,0.07389283742872987,0.23485622330842293,0.047703634795230876,0.08349627601808365,0.02053949866552434,0.05418078627591853,0.11751156851564348,0.08969132798207713,0.057646086472059155,0.03522987411497666,0.07168020751070683,0.11756684239878551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08120482692848316,0.008318490725758661,0.0,0.0,0.04312487862217264,0.0,0.0,0.06205577172042705,0.0337573079640974,0.06145023280619477,0.0,0.06424369083015585,0.0,0.026776209258502034,0.0,0.0,0.0,0.026813857265688558,0.03187121554144526,0.2582269042413423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04055889286719051,0.027759760038385088,0.1363834390385613,0.02032090454806807,0.08213631789917994,0.06192753256883851,0.03263931245913734,0.016419166749004045,0.052730622934718696,0.009762753048870362,0.064919295949488,0.029814609644059367,0.05456518052463713,0.03844969544379498,0.02138851640187856,0.09749700707539524,0.045105716012672895,0.05452655688780693,0.18315098477779368,0.07702143284822338,0.23105278179134925,0.044121199942281156,0.0777240242201715,0.019686568837901604,0.05017736241727448,0.10849729208885817,0.09563285661872992,0.05660321068414445,0.03321768762044633,0.07234199162894087,0.1104770749202072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08190884289274031,0.00796393140431321,0.0,0.0,0.04061651510320066,0.0,0.0,0.06271805326081827,0.033918944183879904,0.06637591998961637,0.0,0.06117563400897977,0.0,0.02523780176139316,0.0,0.0,0.0,0.02939137028722738,0.034574242571116784,0.2573891927988403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038221684772861295,0.02060163941351762,0.1147648656821518,0.014538971780229344,0.06596060375613935,0.056157124200665015,0.03164078162414391,0.014729153001969447,0.04268902542657095,0.011472964966681955,0.05367991656484626,0.027196020935311073,0.04828366259088045,0.03217608895991568,0.02187769956523506,0.08207265675219186,0.043738107641735566,0.05005885748629074,0.13935115326860675,0.06657021995538004,0.1737213338717778,0.04005703625110307,0.07717498808038606,0.01848604443841146,0.03476069054876427,0.10372785198977702,0.08076186951477618,0.0503914033248353,0.03108142928254308,0.0633036249108998,0.08729944053410407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07378102276287496,0.00751354449282882,0.0,0.0,0.03660878322770282,0.0,0.0,0.05804367835138739,0.030384429079871142,0.06259669544510849,0.0,0.052260657069753955,0.0,0.02274640831236789,0.0,0.0,0.0,0.026345434174576264,0.03092656938295245,0.23027182711652028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03819170839813159,0.01624685929604638,0.09723878615820775,0.013209787125886288,0.05913680286785222,0.055003493142086524,0.03091147334064647,0.012897539609542593,0.042269846697058286,0.011866524838699714,0.04853228405302437,0.020762415109338357,0.04614907949804034,0.027675789761631216,0.02154928558016931,0.07977144442704479,0.04452063856230788,0.05199634886453092,0.1293963731951493,0.06288226239049824,0.1610155355944317,0.036180868096152216,0.0770598503966132,0.01983446191560185,0.031247514359486563,0.09320871218192284,0.07725449835097492,0.046396206993735256,0.031535515575300904,0.06405632210236961,0.07915178239170359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05938245320063251,0.0074497477998142405,0.0,0.0,0.03232070022171954,0.0,0.0,0.05453018820289507,0.02933498709479744,0.06224856456052,0.0,0.0407223640403469,0.0,0.022102941673699736,0.0,0.0,0.0,0.027014881276808372,0.031752626804391684,0.2176489386856244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03563106460308357,0.012588737788370871,0.09531297450512746,0.013955671583941495,0.054792197331961695,0.05503722715141454,0.030476687790594287,0.010716695160545749,0.042191383165262636,0.012359496993433305,0.04433103263023576,0.02047951386336303,0.0453556423652316,0.025581539627617805,0.020662879726532572,0.07834732525583366,0.047096650199327836,0.050929476627888895,0.11747305481291326,0.0628926127511936,0.15657939881793181,0.029864566625953035,0.0749046079828184,0.020779602324546786,0.03048097408268563,0.06554463935785942,0.07636056907789057,0.04047877004591674,0.03355676305192054,0.06658582667744528,0.07422163943609034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05778938908637496,0.008026240546613805,0.0,0.0,0.032438947571835686,0.0,0.0,0.05166886120080952,0.027610668047655787,0.0608847260666098,0.0,0.03884163333756742,0.0,0.021215485944003243,0.0,0.0,0.0,0.03151575083163832,0.037996635675240156,0.2061042284653405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0030319854484967233,0.0038049260639430533,0.0001910989305538279,4.2472412251194325e-5,0.0020412950824983253,0.006024358825724836,0.008151375974375753,0.014416190931023778,0.021437383226005406,0.012492466554887616,0.012123107592360714,0.009162745423232187,0.018592034643904763,0.010386840184098595,0.011544610359886257,0.0006046397801958993,0.004284490164565312,0.0030263321032507765,0.013632485349652008,0.004055764316047069,0.005020007771716198,0.0,0.0,0.00020602921596078318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0360416192365634,0.01156005274406011,0.09408144268543692,0.013967849666311174,0.05245263368668368,0.05544103893340124,0.03023349248831505,0.009644232684310968,0.03263980433269473,0.012545505106121159,0.04254174572893851,0.01962932636533208,0.04572357242836436,0.023850788414468034,0.020008123865209337,0.07672265085138011,0.049175764709973674,0.05022109920689603,0.10727776091080743,0.06310497170244361,0.15416386936799753,0.02637026617501277,0.07346876706768832,0.021095427165383915,0.030005228222264174,0.05394940857010805,0.07598224845594831,0.037491049309620814,0.03502741972129002,0.06765272666902777,0.07155783803526478,0.0026544321568973115,0.007399847116137372,0.0009709284319468576,0.0,0.0,0.00904394664004181,0.0,0.0,0.01961003259407753,0.01583446889324285,0.016549511410841725,0.014281815449321056,0.01725698026440982,0.013672031372332288,0.005029514537212093,0.0011657934977152323,0.005924620213450935,0.005798801082306683,0.013072687411301416,0.0,0.009793157691649713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05909595036392365,0.008350793445420151,0.0,0.0,0.03347014734218402,0.0,0.0,0.052073647819693675,0.027259036590065955,0.06121320166458469,0.0,0.039428629619258956,0.0,0.020713446004234318,0.0,0.0,0.0,0.03394172494672598,0.041810814818380906,0.20326544988327278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.027285160616160153,0.020560745593982528,0.02687531855031596,0.02084935553611921,0.02150029234991503,0.021878240925483426,0.02239782906867851,0.04350012658250284,0.05595744861822313,0.028234438924324076,0.026721697486195538,0.028077398392795105,0.03786840978355273,0.027022749589238365,0.028503972554361226,0.023428864031941575,0.03135204023292877,0.016464377406107542,0.03723031751783695,0.01905479822838172,0.028623656919238155,0.01854352276384872,0.02955810085196505,0.01379128081938942,0.013021829692401309,0.0032104303468754943,0.01912987485412755,0.004059145266848206,0.00271852938724423,0.015947968287183804,0.0,0.02430373247828698,0.0071046035895575965,0.09400673259550238,0.013383283389644663,0.048715792281903994,0.05598782595018886,0.02701033152730513,0.007314153169461355,0.029705856003205633,0.013097470020613657,0.04037527917535608,0.01742770620081356,0.047692674246207725,0.019681061377010214,0.018732518954266635,0.07449175049576029,0.05409656184870516,0.050865411114732015,0.09619426139569986,0.06363484595579208,0.1654519008576122,0.01974831930953555,0.07112050731777952,0.021634578683004856,0.028705921399928364,0.03413219285258144,0.07442973889284116,0.032156413414130516,0.03685348308897385,0.070078929675605,0.06728338251848479,0.019618049376990437,0.025701199466741306,0.03218485665453913,0.0,0.0,0.02263103822848673,0.0,0.0,0.04574815462290577,0.035497566770057734,0.03344720341038614,0.02642516997788877,0.03398257264947811,0.030912725642741862,0.018564433530399736,0.027080610986892933,0.03118997656915644,0.01170941717243043,0.022665575892521134,0.0,0.03293037363757434,0.018938713703086058,0.0,0.0,0.0,0.03612791028719875,0.0,0.0,0.0,0.0,0.0,0.0,0.062268257012932954,0.009130227932501907,0.0,0.0,0.03577370620173101,0.0,0.0,0.052269219027054545,0.027587637455035625,0.06297510567382308,0.0,0.04071857052375774,0.0,0.019979179892823683,0.0,0.0,0.0,0.0386298323083311,0.04823423765983707,0.21300064135426677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
