time,Region1Beijing_Hydropower_storage,Region2Tianjin_Hydropower_storage,Region3Hebei_Hydropower_storage,Region4Shanxi_Hydropower_storage,Region5Innermongolia_Hydropower_storage,Region6Liaoning_Hydropower_storage,Region7Jilin_Hydropower_storage,Region8Heilongjiang_Hydropower_storage,Region9Shanghai_Hydropower_storage,Region10Jiangsu_Hydropower_storage,Region11Zhejiang_Hydropower_storage,Region12Anhui_Hydropower_storage,Region13Fujian_Hydropower_storage,Region14Jiangxi_Hydropower_storage,Region15Shandong_Hydropower_storage,Region16Henan_Hydropower_storage,Region17Hubei_Hydropower_storage,Region18Hunan_Hydropower_storage,Region19Guangdong_Hydropower_storage,Region20Guangxi_Hydropower_storage,Region21Hainan_Hydropower_storage,Region22Chongqing_Hydropower_storage,Region23Sichuan_Hydropower_storage,Region24Guizhou_Hydropower_storage,Region25Yunnan_Hydropower_storage,Region26Tibet_Hydropower_storage,Region27Shaanxi_Hydropower_storage,Region28Gansu_Hydropower_storage,Region29Qinghai_Hydropower_storage,Region30Ningxia_Hydropower_storage,Region31Xinjiang_Hydropower_storage,Region1Beijing_battery_storage,Region2Tianjin_battery_storage,Region3Hebei_battery_storage,Region4Shanxi_battery_storage,Region5Innermongolia_battery_storage,Region6Liaoning_battery_storage,Region7Jilin_battery_storage,Region8Heilongjiang_battery_storage,Region9Shanghai_battery_storage,Region10Jiangsu_battery_storage,Region11Zhejiang_battery_storage,Region12Anhui_battery_storage,Region13Fujian_battery_storage,Region14Jiangxi_battery_storage,Region15Shandong_battery_storage,Region16Henan_battery_storage,Region17Hubei_battery_storage,Region18Hunan_battery_storage,Region19Guangdong_battery_storage,Region20Guangxi_battery_storage,Region21Hainan_battery_storage,Region22Chongqing_battery_storage,Region23Sichuan_battery_storage,Region24Guizhou_battery_storage,Region25Yunnan_battery_storage,Region26Tibet_battery_storage,Region27Shaanxi_battery_storage,Region28Gansu_battery_storage,Region29Qinghai_battery_storage,Region30Ningxia_battery_storage,Region31Xinjiang_battery_storage,Region1Beijing_pumpedhydro_storage,Region2Tianjin_pumpedhydro_storage,Region3Hebei_pumpedhydro_storage,Region4Shanxi_pumpedhydro_storage,Region5Innermongolia_pumpedhydro_storage,Region6Liaoning_pumpedhydro_storage,Region7Jilin_pumpedhydro_storage,Region8Heilongjiang_pumpedhydro_storage,Region9Shanghai_pumpedhydro_storage,Region10Jiangsu_pumpedhydro_storage,Region11Zhejiang_pumpedhydro_storage,Region12Anhui_pumpedhydro_storage,Region13Fujian_pumpedhydro_storage,Region14Jiangxi_pumpedhydro_storage,Region15Shandong_pumpedhydro_storage,Region16Henan_pumpedhydro_storage,Region17Hubei_pumpedhydro_storage,Region18Hunan_pumpedhydro_storage,Region19Guangdong_pumpedhydro_storage,Region20Guangxi_pumpedhydro_storage,Region21Hainan_pumpedhydro_storage,Region22Chongqing_pumpedhydro_storage,Region23Sichuan_pumpedhydro_storage,Region24Guizhou_pumpedhydro_storage,Region25Yunnan_pumpedhydro_storage,Region26Tibet_pumpedhydro_storage,Region27Shaanxi_pumpedhydro_storage,Region28Gansu_pumpedhydro_storage,Region29Qinghai_pumpedhydro_storage,Region30Ningxia_pumpedhydro_storage,Region31Xinjiang_pumpedhydro_storage
1,6.663796536919724e7,0.0,6.66254637290079e7,6.664135501771124e7,6.66343757729814e7,6.662729144986784e7,6.662515943415521e7,6.662865274963979e7,6.662677346977032e7,6.663030644752119e7,6.662907289677603e7,6.663523584405894e7,6.6622341825868525e7,6.664063773636287e7,6.662538708975432e7,6.662284825355775e7,6.658870452027158e7,6.662565206633031e7,6.662064345333355e7,6.66239517465606e7,6.6645238753442265e7,6.662892909165803e7,6.656992881983327e7,6.663388075165782e7,6.656812642220636e7,6.662555114863092e7,6.6631708124260545e7,6.663879794607607e7,6.6620334441459455e7,6.664531991105706e7,6.6624523218785845e7,3.870370260981365,3.00354641225425,0.993993764167103,1.470100978134995,1.445431461870167,2.8747121277364336,2.098929086000257,4.54013381317272,1.009237729360186,1.0318846586566632,0.9335194997160776,1.518348013494379,1.3840219608557707,0.5508934761006541,1.217130229565149,0.4907474033436034,0.4127900974785237,1.1154156311911405,0.9312364507045457,1.087553995861882,0.3432727617592382,0.5974005681919373,1.5225749377622482,0.5126136309542756,0.5582794132692654,1.5444642558228763,1.562543593525027,1.3960097439777248,1.5071323750589638,1.4914122182339615,1.3731353454879636,1916.2994964564327,0.0,9831.579395569082,2251.9367417088934,2562.3139855212717,6376.535660901491,3801.490662543469,2806.2594360048306,2298.5939192670357,7266.508281405417,16719.834926065934,8009.7264171886945,7344.601932593586,2578.2289846046347,8397.486589636048,4986.215431609774,3117.9505672286473,3141.36933429623,22682.277443551317,0.0,951.3654025674318,3191.692901554933,0.0,0.0,0.0,321.85956980423504,3081.688825076504,0.0,0.0,0.0,3151.419271960987
2,6.6638365991232015e7,0.0,6.662796928813614e7,6.664189412315056e7,6.663525691595907e7,6.66290882757287e7,6.6627788649727456e7,6.6629235065517604e7,6.66296268427585e7,6.663177932941409e7,6.66336299127798e7,6.663751681516921e7,6.662635572412373e7,6.664213446955412e7,6.662718621983015e7,6.662517370853814e7,6.66037617350134e7,6.6630450339424565e7,6.66263492359646e7,6.663084831111726e7,6.664568878280267e7,6.663155255450125e7,6.660436018749286e7,6.664140945269808e7,6.6603561394175105e7,6.662636161249761e7,6.663344674024532e7,6.664127779050861e7,6.6627244647256054e7,6.664550995297383e7,6.662792320089262e7,3.5132853892639657,2.836044460931692,0.9469074626261639,1.3078537487388007,1.3567016850102147,2.7385011647389876,1.8752613563012115,4.013092474299847,0.9506439910585868,0.9569802572869038,0.8717618406409394,1.4129975794964764,1.3270930591501313,0.5617992987720977,1.1461539197127024,0.49101273171920956,0.41477667603918983,0.983379952208318,0.8719253852669224,0.9898110582289137,0.3443807984943719,0.5982208218145016,1.3803069253887188,0.5060583506312927,0.5495472782394365,1.4949358908842374,1.4131050061530355,1.2680598090963047,1.3379038466877298,1.3579970293942694,1.2320905593977158,2696.213988397062,0.0,14110.975751623095,3298.988836612008,3612.4125436715517,9008.580027296852,5286.206687214967,3852.812270516616,3343.896972668371,10141.35135804927,23466.692255043,12117.934154146345,10678.485839193054,3633.0288823096503,11912.31301114883,7403.59920410708,3207.840587507475,3142.179348912555,25254.067261240092,0.0,1433.3035211012564,3191.7067845093065,0.0,0.0,0.0,309.4470259767017,4028.134240475796,0.0,0.0,0.0,3155.2322881855043
3,6.6638767174643464e7,0.0,6.6630475504746675e7,6.664243389138721e7,6.6636138671352305e7,6.6630885756725796e7,6.663041860724896e7,6.662981803220094e7,6.663248091024717e7,6.6633252827109195e7,6.66381876504726e7,6.6639798484644264e7,6.6630370314889506e7,6.664363135214498e7,6.662898595563168e7,6.662749992379444e7,6.6618820068833455e7,6.663525060374586e7,6.6632055787728794e7,6.663774639055765e7,6.664613945109047e7,6.663417756024804e7,6.663944426363848e7,6.664893979466356e7,6.6639002629233256e7,6.662729257127941e7,6.6635186166765824e7,6.6643758794764176e7,6.663415625417698e7,6.66457009913664e7,6.6631324435581386e7,4.431364833155744,3.7245499148871537,1.175331231973286,1.6419441858469734,1.7098244669544913,3.7880234107514585,2.3619311448856366,5.412654309222916,1.222846613352394,1.2057782432014945,1.1172514324318743,1.731313392415151,1.6942400231002963,0.5872158068323781,1.4142527676926218,0.5157673305297622,0.4350421694018655,1.2589364192503747,1.1244973256379196,1.2503647291564215,0.36122572105099965,0.6315140940782416,1.7055872018181817,0.5305655625097174,0.5772538739823715,1.5784319543975551,1.7523822757241205,1.5900760619180712,1.6598400582305366,1.7091417891604983,1.5510886945395714,3480.718775740435,0.0,18396.001120613757,4354.50105305691,4667.926129505822,11648.043287301909,6781.6921274182705,4908.324035258013,4399.430297103284,13022.825057926095,30224.48202644302,16235.75883584498,14021.939317057419,4688.531075522667,15431.763086617451,9840.657363668772,4263.343473270658,4197.686914699018,34827.75480399468,0.0,1960.8387135573846,4247.209349671569,0.0,0.0,0.0,394.89893361012804,5259.631260508604,0.0,0.0,0.0,4210.731287038673
4,6.663916835251616e7,0.0,6.663298172378998e7,6.664297365523529e7,6.663702042374068e7,6.663268324281663e7,6.663304856877573e7,6.6630400996689625e7,6.663533498392932e7,6.663472632699142e7,6.664274539534649e7,6.664208015494264e7,6.663438491237606e7,6.664512823987936e7,6.6630785689403154e7,6.662982614308061e7,6.663387841951631e7,6.664005087896929e7,6.663776236262681e7,6.664464450323188e7,6.664659013240632e7,6.663680257842662e7,6.6674528433947e7,6.665647016874555e7,6.6674443942279354e7,6.66282239387478e7,6.6636925596997604e7,6.6646239806194335e7,6.664106787704207e7,6.664589202321775e7,6.663472567818757e7,5.2036541357542045,4.574498859484677,1.34335482874157,1.8693326201831262,1.952952680700726,4.838830049525851,2.717868688322859,6.926000031208105,1.4304279106364801,1.3951813451775374,1.3091238664739682,1.9624020892744223,1.9744459710339382,0.6032329690943494,1.6217664297957046,0.5347804324345832,0.4487944034577374,1.4563112372176439,1.3268648749508862,1.456712835479963,0.37363796677997824,0.6545411321043105,2.0658177515603398,0.5461953756285043,0.5961622513943692,1.6911819932313474,1.989279259681842,1.81976716326705,1.873034879562696,1.9611371579134307,1.767600005477024,4265.222914720532,0.0,22681.0399726422,5410.017271376876,5723.441595846614,14287.525745401123,8277.1846160608,5963.843358661544,5454.973588198269,15904.315415407098,36982.29143037481,20353.596360288073,17365.41390514557,5744.052923765976,18951.221222829743,12277.729619905951,5318.855104544005,5253.198396080027,44401.50720743864,0.0,2488.414971424556,5302.736985599395,0.0,0.0,0.0,493.13733850849144,6491.136846097446,0.0,0.0,0.0,5266.237616400308
5,6.66395695370385e7,0.0,6.663548794228121e7,6.6643513425263226e7,6.663790218068062e7,6.6634480726140186e7,6.663567852746059e7,6.663098396463239e7,6.663818905467442e7,6.663619982762426e7,6.664730313907527e7,6.664436182645579e7,6.663839950786412e7,6.664662512253118e7,6.66325854267989e7,6.663215236148542e7,6.6648936761896856e7,6.66448511520633e7,6.664346893782419e7,6.665154261793386e7,6.664704081154183e7,6.663942745920768e7,6.6709611565664604e7,6.66640005423824e7,6.670988524590139e7,6.662915462778352e7,6.663866502639442e7,6.6648720813586704e7,6.664797949430449e7,6.664608306419817e7,6.663812691857167e7,6.121011961689735,5.4805059638785885,1.5597020596834867,2.2121552527849433,2.28543383785958,5.9049942455762405,3.2045308972061717,8.521383090522304,1.6838855099626844,1.6427170852323065,1.5531378164500542,2.272376631593863,2.327108561773831,0.6282220517090762,1.892423019347876,0.5607262324339414,0.46345028692107015,1.7248199251026577,1.5880046364575013,1.7178796371854952,0.3873260202879693,0.6652028054627532,2.0262283825240988,0.5680407118585264,0.620268003390259,1.6942103943223528,2.323521523422362,2.134869378559927,2.180811203039767,2.3022322508647055,2.0733212024980268,5049.734544851652,0.0,26966.07428173306,6465.538092020055,6778.963235137018,16926.997533000624,9772.677916312941,7019.3634970228595,6510.517582532645,18785.80070144035,43740.09666348905,24471.432357328922,20708.878553921517,6799.561719409412,22470.680269395452,14714.799373522124,6374.370140042547,6308.718474543283,53975.26244717039,0.0,3015.983328246983,6357.958072507426,0.0,0.0,0.0,577.6888230464004,7722.6447396162275,0.0,0.0,0.0,6321.748429424099
6,6.663997002684212e7,0.0,6.663799336793647e7,6.66440524363594e7,6.663878318394298e7,6.663627747262922e7,6.663830769624278e7,6.663156619827238e7,6.664104256897093e7,6.663767280884335e7,6.6651860312299e7,6.6646642854500115e7,6.664241354218467e7,6.664812138296765e7,6.663438441171298e7,6.66344777838835e7,6.6663993967745975e7,6.6649649500512674e7,6.664917468425212e7,6.665843939462108e7,6.664749081531063e7,6.6642043752879e7,6.674193893682919e7,6.667152904952052e7,6.674532348359486e7,6.662993056054788e7,6.6640403482800074e7,6.665120070251179e7,6.665488982978879e7,6.664627310281807e7,6.664152709987253e7,5.766266951443294,5.259065588827659,1.4884819258988813,2.065435617858659,2.1771183126469644,5.686076188766606,3.0267263738916856,7.934780891533055,1.6339103959398056,1.596754058990498,1.5148225855691622,2.1800093041901585,2.274344903061639,0.6254985062605611,1.8270763781474788,0.5637754084210521,0.45795401846657824,1.5942573247030343,1.5332046242989952,1.627902266356468,0.384638618006937,0.6587610018039644,1.9298869928055513,0.5615096173494859,0.6125611702699224,1.66083012908643,2.193761313593493,2.0325302712674533,2.0306510855542257,2.1864547557488145,1.9625027897550542,5781.222441106438,0.0,30859.438162549748,6909.501805680581,7544.87711806975,16988.76136754763,9857.748418958028,7135.97649083569,7562.37944193295,21663.89088483297,50493.56546764493,28583.181209589427,24048.211587098733,7849.926145961002,25926.074207429756,15365.156951775625,6383.453786047714,6308.964448929452,60824.28345816655,0.0,3491.3492916388514,6351.06310494699,0.0,0.0,0.0,565.2479237347,7725.671453093367,0.0,0.0,0.0,6324.45411936824
7,6.664036724804336e7,0.0,6.664049470700263e7,6.66445872678645e7,6.663965983747141e7,6.663806974718029e7,6.664092692272814e7,6.663213997443454e7,6.664389518375625e7,6.663914491254526e7,6.6656416498287305e7,6.664892251081466e7,6.664642658671476e7,6.6649611635498926e7,6.663617975218944e7,6.663679681939164e7,6.6679027689135745e7,6.665442398122441e7,6.6654879473155335e7,6.6665332386535294e7,6.664794013889672e7,6.664464839572136e7,6.676120417145782e7,6.6679039367440045e7,6.67762164022752e7,6.6629951410743326e7,6.664213058852768e7,6.665364211580545e7,6.6661745131666e7,6.664644462851831e7,6.6644910924891114e7,5.377004376750791,4.927264370664816,1.3935007965704411,1.9084352457117315,2.0311478946517236,5.276779937416375,2.8063901163322913,7.183245554503827,1.5629488206358113,1.5257592464667227,1.4526640761022402,2.0632401344648814,2.1577003564624575,0.6129495285371753,1.7199473188452576,0.5604022941916299,0.4473088171765151,1.4786375842881787,1.4857555377816667,1.536201813643093,0.3788797493036951,0.6532073725139876,1.8699230539867726,0.5546851349418408,0.6033665974214422,1.6339150841718906,2.048856008426065,1.8921080467861973,1.8793974071155604,2.037052260195798,1.8375523752470597,5778.012291351615,0.0,30855.50950753027,6905.640347998458,7540.675083708091,16984.502548728837,9849.440122310369,7128.08650533948,7562.463004634349,21663.97166541307,50493.57463351036,28582.417068420258,24048.213335636254,7845.370176790678,25922.570533738057,15359.224860729155,6367.903585304916,6290.31224571328,60825.12572320135,0.0,3491.602294005948,6332.1911664985055,0.0,0.0,0.0,551.4665771030075,7715.129736936976,0.0,0.0,0.0,6310.065621346539
8,6.6640732715338096e7,0.0,6.66429406049045e7,6.664508130702199e7,6.664044043750965e7,6.66394047441042e7,6.6642267958211966e7,6.66320296220233e7,6.664674283397893e7,6.664061265174689e7,6.66609618979333e7,6.665118195517868e7,6.665035227732608e7,6.665107003507359e7,6.6637830177310154e7,6.663910654487675e7,6.668394373444855e7,6.665509995444389e7,6.666058348314252e7,6.6672211499142386e7,6.664838849800896e7,6.664421822649225e7,6.675794644550765e7,6.668468675604311e7,6.67779620829459e7,6.6629834804331765e7,6.664328654687044e7,6.665477973074621e7,6.665953159785595e7,6.664659396509058e7,6.6644105541583106e7,5.063660613742103,4.623043549502216,1.3177273080523462,1.8127331610286492,1.9326429642672993,4.921314681205146,2.684164641550102,6.626193869228506,1.4814701119473896,1.4413202652685335,1.3611892837322548,1.9399513426508461,1.9916430666173905,0.6001714668318159,1.632579504097902,0.5538301777988324,0.4349012959410432,1.411367554445124,1.4351021430386433,1.4755861963443626,0.37007579161833004,0.6433304577167178,1.8381294162321506,0.5509661596414145,0.5963805213705851,1.5878486429560255,1.9618347436246493,1.808332798957989,1.8031142048540452,1.9498965218471407,1.7741290881792926,5749.0047770617675,0.0,30803.298056325486,6878.604540120841,7480.065347701362,16848.924998777202,9567.106217227249,6886.678737649485,7556.332847084428,21658.67108672266,50481.43334655192,28560.398831240036,23966.53931207558,7825.116286790485,25823.35626800346,15343.727427790081,6154.590236754178,6104.364557445743,60823.70017885356,0.0,3490.1183185381515,6129.711206840621,0.0,0.0,0.0,538.0264273173012,7566.197265572939,0.0,0.0,0.0,6107.2476052003685
9,6.664056295193399e7,0.0,6.6643686870305724e7,6.664533243748127e7,6.664034701342063e7,6.6638374890622824e7,6.66413002304186e7,6.663177650371705e7,6.664868938126837e7,6.664205310028414e7,6.665558281574672e7,6.664988557977481e7,6.664965303533314e7,6.665054806890402e7,6.663695396644953e7,6.6641405756945305e7,6.667954635032304e7,6.66535002089441e7,6.665976148308416e7,6.6667910363832094e7,6.6648355740793444e7,6.664278777540563e7,6.675014167311291e7,6.668417083474896e7,6.676564420619299e7,6.66294997969846e7,6.664261785328974e7,6.665398873250314e7,6.665611761977087e7,6.66464700621056e7,6.664294597526932e7,4.821563028710211,4.436251171254149,1.2512185960330575,1.744755509148178,1.855847152518531,4.693398415363665,2.6211949158348147,6.277150289378555,1.421154350785293,1.37947770754539,1.2897187421783436,1.8752939133499404,1.8797138954511183,0.5947007378594791,1.5745472542507162,0.5421857188404782,0.424189158757805,1.3795695667222412,1.3609489693722503,1.4342379769036784,0.36065933858251353,0.6295585423037336,1.7955023684299374,0.544213222104019,0.5821996543854246,1.5183273080205544,1.8990027464363946,1.747710473965354,1.7469490921500874,1.8770991956764445,1.7269247936211247,5571.547436576231,0.0,30523.213813524228,6816.21190734009,7340.450798868199,16640.44266410795,9224.674133195444,6625.876965302935,7261.879040569026,21626.73468997618,48346.84069716533,27792.658306533292,23213.21063028863,7776.759557568513,25450.14397025725,15318.689848417485,5944.744915287605,5916.994074170846,60195.887027637116,0.0,3437.082976944691,5924.986852947297,0.0,0.0,0.0,524.6248919991519,7369.440723939517,0.0,0.0,0.0,5910.133037533447
10,6.664022954941906e7,0.0,6.664067160432181e7,6.664471998589813e7,6.663942966519794e7,6.66364063115319e7,6.6639591978321016e7,6.6631459932666115e7,6.664536796334918e7,6.664048343733475e7,6.664939124517264e7,6.664804377355512e7,6.664635141140193e7,6.664849382925172e7,6.663613301893402e7,6.6640734789905496e7,6.66722161864638e7,6.665121672329275e7,6.6652484427500814e7,6.666310189527485e7,6.66480085471072e7,6.66404859869414e7,6.673852142145379e7,6.667999142745587e7,6.674788984391525e7,6.662911510669184e7,6.664125932699225e7,6.6652537188665785e7,6.6652652524159834e7,6.664632407959056e7,6.664122493596606e7,4.666591534983149,4.264370194751064,1.2206538987241151,1.7182655458106402,1.8063950247145757,4.525789440578551,2.5728085777971685,6.141869689527739,1.3833663929420275,1.3314539200812752,1.2325115602283816,1.828290445944884,1.7880356502655368,0.5865509242869874,1.514904560462806,0.5372371838523647,0.4207296808765622,1.3564106069023465,1.2985671021399783,1.4051222029554495,0.3554837569244105,0.6224204247124012,1.7784784054973894,0.5421031259216122,0.5732996483693985,1.450318376582217,1.8626077840852049,1.7024125828031358,1.7116889481236732,1.8448121967368323,1.6859550033900017,5338.478641287563,0.0,29993.59192762754,6673.43138939508,7138.9200888745845,16387.71457360701,8881.57491160683,6363.791028237441,6782.245134502721,21037.285719768854,40501.1789922819,26991.112607283834,22375.53682790956,7706.54476645954,25138.11855226558,15157.003837006545,5737.711167264305,5732.13203388546,58631.48893823133,0.0,3374.4102569231068,5711.586208763054,0.0,0.0,0.0,511.290436859296,7160.02935603004,0.0,0.0,0.0,5715.875667674633
