zone,Investment,FixedOM,Fuel,VariableOM,Startup,NonServedDemand,Total
Region1Beijing_bfbofccs_transforms_crudesteel_Region1Beijing,2104.351659669975,315.67026735278904,0.0,0.0,0.0,0.0,2420.021927022764
steelscrap_source_Region1Beijing_Region1Beijing_bfbofccs_transforms,0.0,0.0,0.02011965696119004,0.0,0.0,0.0,0.02011965696119004
Region2Tianjin_bfbofccs_transforms_crudesteel_Region2Tianjin,2113.115916485118,316.98497883614374,0.0,0.0,0.0,0.0,2430.1008953212618
steelscrap_source_Region2Tianjin_Region2Tianjin_bfbofccs_transforms,0.0,0.0,0.0202034518154532,0.0,0.0,0.0,0.0202034518154532
Region3Hebei_bfbofccs_transforms_crudesteel_Region3Hebei,2093.8332998799438,314.092425820565,0.0,0.0,0.0,0.0,2407.925725700509
steelscrap_source_Region3Hebei_Region3Hebei_bfbofccs_transforms,0.0,0.0,0.02001909116944259,0.0,0.0,0.0,0.02001909116944259
Region4Shanxi_bfbofccs_transforms_crudesteel_Region4Shanxi,815.6201108642281,122.34980654098509,0.0,0.0,0.0,0.0,937.9699174052132
steelscrap_source_Region4Shanxi_Region4Shanxi_bfbofccs_transforms,0.0,0.0,0.007798124788615247,0.0,0.0,0.0,0.007798124788615247
Region5Innermongolia_bfbofccs_transforms_crudesteel_Region5Innermongolia,2053.076430817752,307.97855616660115,0.0,0.0,0.0,0.0,2361.0549869843535
steelscrap_source_Region5Innermongolia_Region5Innermongolia_bfbofccs_transforms,0.0,0.0,0.019629415698341892,0.0,0.0,0.0,0.019629415698341892
Region6Liaoning_bfbofccs_transforms_crudesteel_Region6Liaoning,2086.266928646796,312.9574071467218,0.0,0.0,0.0,0.0,2399.2243357935176
steelscrap_source_Region6Liaoning_Region6Liaoning_bfbofccs_transforms,0.0,0.0,0.019946749271189775,0.0,0.0,0.0,0.019946749271189775
Region7Jilin_bfbofccs_transforms_crudesteel_Region7Jilin,2202.422988322739,330.3817830793556,0.0,0.0,0.0,0.0,2532.8047714020945
steelscrap_source_Region7Jilin_Region7Jilin_bfbofccs_transforms,0.0,0.0,0.02105731463886698,0.0,0.0,0.0,0.02105731463886698
Region8Heilongjiang_bfbofccs_transforms_crudesteel_Region8Heilongjiang,2218.3709991492706,332.7741174680603,0.0,0.0,0.0,0.0,2551.145116617331
steelscrap_source_Region8Heilongjiang_Region8Heilongjiang_bfbofccs_transforms,0.0,0.0,0.02120979319708166,0.0,0.0,0.0,0.02120979319708166
Region9Shanghai_bfbofccs_transforms_crudesteel_Region9Shanghai,2064.1385593156197,309.6379675317911,0.0,0.0,0.0,0.0,2373.776526847411
steelscrap_source_Region9Shanghai_Region9Shanghai_bfbofccs_transforms,0.0,0.0,0.019735180449976887,0.0,0.0,0.0,0.019735180449976887
Region10Jiangsu_bfbofccs_transforms_crudesteel_Region10Jiangsu,1949.432962302785,292.43117307350104,0.0,0.0,0.0,0.0,2241.864135376286
steelscrap_source_Region10Jiangsu_Region10Jiangsu_bfbofccs_transforms,0.0,0.0,0.018638482921870453,0.0,0.0,0.0,0.018638482921870453
Region11Zhejiang_bfbofccs_transforms_crudesteel_Region11Zhejiang,1919.3182620024334,287.9137173282232,0.0,0.0,0.0,0.0,2207.2319793306565
steelscrap_source_Region11Zhejiang_Region11Zhejiang_bfbofccs_transforms,0.0,0.0,0.01835055697719867,0.0,0.0,0.0,0.01835055697719867
Region12Anhui_bfbofccs_transforms_crudesteel_Region12Anhui,1839.9555157668565,276.00864471029155,0.0,0.0,0.0,0.0,2115.964160477148
steelscrap_source_Region12Anhui_Region12Anhui_bfbofccs_transforms,0.0,0.0,0.017591771618097517,0.0,0.0,0.0,0.017591771618097517
Region13Fujian_bfbofccs_transforms_crudesteel_Region13Fujian,2008.8687195455084,301.3470314534015,0.0,0.0,0.0,0.0,2310.2157509989097
steelscrap_source_Region13Fujian_Region13Fujian_bfbofccs_transforms,0.0,0.0,0.019206746805645318,0.0,0.0,0.0,0.019206746805645318
Region15Shandong_bfbofccs_transforms_crudesteel_Region15Shandong,2090.680410933541,313.6194662312914,0.0,0.0,0.0,0.0,2404.2998771648327
steelscrap_source_Region15Shandong_Region15Shandong_bfbofccs_transforms,0.0,0.0,0.019988946472026228,0.0,0.0,0.0,0.019988946472026228
Region16Henan_bfbofccs_transforms_crudesteel_Region16Henan,2072.1846300186126,310.84494511953494,0.0,0.0,0.0,0.0,2383.0295751381473
steelscrap_source_Region16Henan_Region16Henan_bfbofccs_transforms,0.0,0.0,0.019812108743632477,0.0,0.0,0.0,0.019812108743632477
Region17Hubei_bfbofccs_transforms_crudesteel_Region17Hubei,2066.314950640259,309.9644443486084,0.0,0.0,0.0,0.0,2376.279394988868
steelscrap_source_Region17Hubei_Region17Hubei_bfbofccs_transforms,0.0,0.0,0.019755988876488596,0.0,0.0,0.0,0.019755988876488596
Region18Hunan_bfbofccs_transforms_crudesteel_Region18Hunan,411.7469383853745,61.76546848742367,0.0,0.0,0.0,0.0,473.5124068727982
steelscrap_source_Region18Hunan_Region18Hunan_bfbofccs_transforms,0.0,0.0,0.003936702840072462,0.0,0.0,0.0,0.003936702840072462
Region19Guangdong_bfbofccs_transforms_crudesteel_Region19Guangdong,1894.0359304564543,284.12115712482415,0.0,0.0,0.0,0.0,2178.1570875812786
steelscrap_source_Region19Guangdong_Region19Guangdong_bfbofccs_transforms,0.0,0.0,0.018108833197075364,0.0,0.0,0.0,0.018108833197075364
Region20Guangxi_bfbofccs_transforms_crudesteel_Region20Guangxi,1934.2815801972886,290.15833962476256,0.0,0.0,0.0,0.0,2224.4399198220513
steelscrap_source_Region20Guangxi_Region20Guangxi_bfbofccs_transforms,0.0,0.0,0.018493620912210747,0.0,0.0,0.0,0.018493620912210747
Region22Chongqing_bfbofccs_transforms_crudesteel_Region22Chongqing,2087.8012410767433,313.18756678412774,0.0,0.0,0.0,0.0,2400.988807860871
steelscrap_source_Region22Chongqing_Region22Chongqing_bfbofccs_transforms,0.0,0.0,0.019961418796418596,0.0,0.0,0.0,0.019961418796418596
Region23Sichuan_bfbofccs_transforms_crudesteel_Region23Sichuan,109.40971537401855,16.412368125071588,0.0,0.0,0.0,0.0,125.82208349909013
steelscrap_source_Region23Sichuan_Region23Sichuan_bfbofccs_transforms,0.0,0.0,0.0010460637277193122,0.0,0.0,0.0,0.0010460637277193122
